"Region Code","Region Type","Selected Hour Timestamp (Hour Ending)","Selected Hour Demand (MWh)","Prior Hour Demand (MWh)","Change from Prior Hour (MWh)"
AEC,BA,"6/12/2020 9p.m. EDT",691,740,-49
AECI,BA,"6/12/2020 9p.m. EDT",3345,3555,-210
AVA,BA,"6/12/2020 9p.m. EDT",1343,1339,4
AZPS,BA,"6/12/2020 9p.m. EDT",5924,5779,145
BANC,BA,"6/12/2020 9p.m. EDT",1960,2061,-101
BPAT,BA,"6/12/2020 9p.m. EDT",6217,6265,-48
CHPD,BA,"6/12/2020 9p.m. EDT",164,162,2
CISO,BA,"6/12/2020 9p.m. EDT",28444,27846,598
CPLE,BA,"6/12/2020 9p.m. EDT",7661,8004,-343
CPLW,BA,"6/12/2020 9p.m. EDT",591,626,-35
DOPD,BA,"6/12/2020 9p.m. EDT",186,185,1
DUK,BA,"6/12/2020 9p.m. EDT",13473,14470,-997
EPE,BA,"6/12/2020 9p.m. EDT",,1648,
ERCO,BA,"6/12/2020 9p.m. EDT",56320,59012,-2692
FMPP,BA,"6/12/2020 9p.m. EDT",2602,2773,-171
FPC,BA,"6/12/2020 9p.m. EDT",8304,8837,-533
FPL,BA,"6/12/2020 9p.m. EDT",18456,19380,-924
GCPD,BA,"6/12/2020 9p.m. EDT",679,684,-5
GVL,BA,"6/12/2020 9p.m. EDT",314,334,-20
HST,BA,"6/12/2020 9p.m. EDT",89,89,0
IID,BA,"6/12/2020 9p.m. EDT",407,407,0
IPCO,BA,"6/12/2020 9p.m. EDT",3721,3731,-10
ISNE,BA,"6/12/2020 9p.m. EDT",15239,15835,-596
JEA,BA,"6/12/2020 9p.m. EDT",1950,2016,-66
LDWP,BA,"6/12/2020 9p.m. EDT",3856,3872,-16
LGEE,BA,"6/12/2020 9p.m. EDT",4596,4833,-237
MISO,BA,"6/12/2020 9p.m. EDT",81854,85324,-3470
NEVP,BA,"6/12/2020 9p.m. EDT",6043,6167,-124
NWMT,BA,"6/12/2020 9p.m. EDT",1545,1571,-26
NYIS,BA,"6/12/2020 9p.m. EDT",18943,19547,-604
PACE,BA,"6/12/2020 9p.m. EDT",7033,7140,-107
PACW,BA,"6/12/2020 9p.m. EDT",2048,2293,-245
PGE,BA,"6/12/2020 9p.m. EDT",2274,2263,11
PJM,BA,"6/12/2020 9p.m. EDT",96505,102266,-5761
PNM,BA,"6/12/2020 9p.m. EDT",1929,2022,-93
PSCO,BA,"6/12/2020 9p.m. EDT",7536,7741,-205
PSEI,BA,"6/12/2020 9p.m. EDT",3099,2985,114
SC,BA,"6/12/2020 9p.m. EDT",3166,3065,101
SCEG,BA,"6/12/2020 9p.m. EDT",3111,3177,-66
SCL,BA,"6/12/2020 9p.m. EDT",1000,1007,-7
SEC,BA,"6/12/2020 9p.m. EDT",0,232,
SOCO,BA,"6/12/2020 9p.m. EDT",30485,32339,-1854
SPA,BA,"6/12/2020 9p.m. EDT",-1138,-1211,73
SRP,BA,"6/12/2020 9p.m. EDT",6287,6303,-16
SWPP,BA,"6/12/2020 9p.m. EDT",38861,40317,-1456
TAL,BA,"6/12/2020 9p.m. EDT",373,392,-19
TEC,BA,"6/12/2020 9p.m. EDT",3313,3505,-192
TEPC,BA,"6/12/2020 9p.m. EDT",2651,2630,21
TIDC,BA,"6/12/2020 9p.m. EDT",345,366,-21
TPWR,BA,"6/12/2020 9p.m. EDT",266,504,-238
TVA,BA,"6/12/2020 9p.m. EDT",20497,21658,-1161
WACM,BA,"6/12/2020 9p.m. EDT",2617,2711,-94
WALC,BA,"6/12/2020 9p.m. EDT",1756,1758,-2
WAUW,BA,"6/12/2020 9p.m. EDT",114,120,-6
CAL,Region,"6/12/2020 9p.m. EDT",35012,34552,460
CAR,Region,"6/12/2020 9p.m. EDT",28002,29342,-1340
CENT,Region,"6/12/2020 9p.m. EDT",38923,40394,-1471
FLA,Region,"6/12/2020 9p.m. EDT",35401,37558,-2157
MIDA,Region,"6/12/2020 9p.m. EDT",96505,102266,-5761
MIDW,Region,"6/12/2020 9p.m. EDT",89795,93712,-3917
NE,Region,"6/12/2020 9p.m. EDT",15239,15835,-596
NW,Region,"6/12/2020 9p.m. EDT",45885,46868,-983
NY,Region,"6/12/2020 9p.m. EDT",18943,19547,-604
SE,Region,"6/12/2020 9p.m. EDT",31176,33079,-1903
SW,Region,"6/12/2020 9p.m. EDT",20195,20140,55
TEN,Region,"6/12/2020 9p.m. EDT",20497,21658,-1161
TEX,Region,"6/12/2020 9p.m. EDT",56320,59012,-2692
US48,Region,"6/12/2020 9p.m. EDT",531893,553963,-22070
