"Region Code","Region Type","Timestamp (Hour Ending)","Total Interchange (MWh)","Demand (MWh)","Total Interchange as Percent of Demand"
AEC,BA,,,691,
AECI,BA,,,3345,
AVA,BA,,,1343,
AVRN,BA,,,,
AZPS,BA,,,5924,
BANC,BA,,,1960,
BPAT,BA,,,6217,
CHPD,BA,,,164,
CISO,BA,,,28444,
CPLE,BA,,,7661,
CPLW,BA,,,591,
DEAA,BA,,,,
DOPD,BA,,,186,
DUK,BA,,,13473,
EPE,BA,,,,
ERCO,BA,,,56320,
FMPP,BA,,,2602,
FPC,BA,,,8304,
FPL,BA,,,18456,
GCPD,BA,,,679,
GLHB,BA,,,,
GRID,BA,,,,
GRIF,BA,,,,
GVL,BA,,,314,
GWA,BA,,,,
HGMA,BA,,,,
HST,BA,,,89,
IID,BA,,,407,
IPCO,BA,,,3721,
ISNE,BA,,,15239,
JEA,BA,"6/12/2020 9p.m. EDT",,1950,
LDWP,BA,"6/12/2020 9p.m. EDT",,3856,
LGEE,BA,"6/12/2020 9p.m. EDT",,4596,
MISO,BA,"6/12/2020 9p.m. EDT",,81854,
NEVP,BA,"6/12/2020 9p.m. EDT",,6043,
NWMT,BA,"6/12/2020 9p.m. EDT",,1545,
NYIS,BA,"6/12/2020 9p.m. EDT",,18943,
PACE,BA,"6/12/2020 9p.m. EDT",,7033,
PACW,BA,"6/12/2020 9p.m. EDT",,2048,
PGE,BA,"6/12/2020 9p.m. EDT",,2274,
PJM,BA,"6/12/2020 9p.m. EDT",,96505,
PNM,BA,"6/12/2020 9p.m. EDT",,1929,
PSCO,BA,"6/12/2020 9p.m. EDT",,7536,
PSEI,BA,"6/12/2020 9p.m. EDT",,3099,
SC,BA,"6/12/2020 9p.m. EDT",,3166,
SCEG,BA,"6/12/2020 9p.m. EDT",,3111,
SCL,BA,"6/12/2020 9p.m. EDT",,1000,
SEC,BA,"6/12/2020 9p.m. EDT",,0,
SEPA,BA,"6/12/2020 9p.m. EDT",,,
SOCO,BA,"6/12/2020 9p.m. EDT",,30485,
SPA,BA,"6/12/2020 9p.m. EDT",,-1138,
SRP,BA,"6/12/2020 9p.m. EDT",,6287,
SWPP,BA,"6/12/2020 9p.m. EDT",,38861,
TAL,BA,"6/12/2020 9p.m. EDT",,373,
TEC,BA,"6/12/2020 9p.m. EDT",,3313,
TEPC,BA,"6/12/2020 9p.m. EDT",,2651,
TIDC,BA,"6/12/2020 9p.m. EDT",,345,
TPWR,BA,"6/12/2020 9p.m. EDT",,266,
TVA,BA,"6/12/2020 9p.m. EDT",,20497,
WACM,BA,"6/12/2020 9p.m. EDT",,2617,
WALC,BA,"6/12/2020 9p.m. EDT",,1756,
WAUW,BA,"6/12/2020 9p.m. EDT",,114,
WWA,BA,"6/12/2020 9p.m. EDT",,,
YAD,BA,"6/12/2020 9p.m. EDT",,,
CAL,Region,"6/12/2020 9p.m. EDT",,35012,
CAR,Region,"6/12/2020 9p.m. EDT",,28002,
CENT,Region,"6/12/2020 9p.m. EDT",,38923,
FLA,Region,"6/12/2020 9p.m. EDT",,35401,
MIDA,Region,"6/12/2020 9p.m. EDT",,96505,
MIDW,Region,"6/12/2020 9p.m. EDT",,89795,
NE,Region,"6/12/2020 9p.m. EDT",,15239,
NW,Region,"6/12/2020 9p.m. EDT",,45885,
NY,Region,"6/12/2020 9p.m. EDT",,18943,
SE,Region,"6/12/2020 9p.m. EDT",,31176,
SW,Region,"6/12/2020 9p.m. EDT",,20195,
TEN,Region,"6/12/2020 9p.m. EDT",,20497,
TEX,Region,"6/12/2020 9p.m. EDT",,56320,
US48,Region,"6/12/2020 9p.m. EDT",,531893,
